system   D            wsystem.c:583  maybe_parent_dir                 [   0.00142] Also searching C:\Users\Adam\documents\visual studio 2012\Projects\Allegro\
display  D   display_settings.c:191  debug_display_settings           [   0.06263] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06270] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06277] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06284] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06291] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06298] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06304] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06311] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06317] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06325] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06331] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06355] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06363] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06371] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06377] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06385] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06391] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06398] Single Buffer requirement not met.
